order_id,vendor,item,category,price,discount_pct,multiple_sizes_ordered,order_date,delivery_date,returned
ORD-9DCEEDD1B3,Amazon,Desk lamp,home,94.73,8.73,0,2024-10-27,2024-11-03,0
ORD-A5B857A607,Kobo,4K streaming stick,electronics,126.20,2.45,0,2024-06-19,2024-06-26,0
ORD-AA7641D217,Walmart,Air purifier,home,145.15,30.63,0,2024-04-29,2024-05-10,0
ORD-B85300D98A,Kobo,Vacuum cleaner,home,59.85,14.93,0,2024-12-05,2024-12-15,0
ORD-399C94F5D6,Kobo,Wireless earbuds,electronics,234.66,8.82,0,2024-10-29,2024-11-02,0
ORD-51CF4F4682,Zappos,Running shorts,clothing,37.26,41.14,0,2024-03-20,2024-03-22,0
ORD-DF7D76457B,Etsy,Storage organizer set,home,59.74,12.79,0,2024-11-28,2024-11-30,0
ORD-19ED2AE3CE,Newegg,Chelsea boots,shoes,31.88,7.89,0,2024-09-06,2024-09-17,0
ORD-4BD9187F5F,Walmart,Sweater,clothing,52.24,4.56,0,2024-08-10,2024-08-24,0
ORD-74C469C8F1,Kobo,Denim jacket,clothing,54.90,22.66,0,2024-01-24,2024-01-28,1
ORD-DA39CF3F81,Etsy,Vacuum cleaner,home,74.35,14.84,0,2024-09-28,2024-10-03,0
ORD-2AAB629F70,Target,Smart watch,electronics,115.27,29.32,0,2024-11-13,2024-11-21,0
ORD-BDCDCE09E8,Kobo,Noise cancelling headphones,electronics,71.25,20.07,0,2024-12-07,2024-12-09,0
ORD-0E15F4D9A6,Target,Leather sneakers,shoes,79.25,18.95,0,2024-10-27,2024-10-31,0
ORD-398E783609,Kobo,Desk lamp,home,121.38,3.43,0,2024-07-15,2024-07-26,0
ORD-7A8A4042B8,Etsy,Fantasy novel,books,10.87,0.84,0,2024-12-24,2024-12-28,0
ORD-48C70346DE,IKEA,Paperback thriller,books,13.31,2.07,0,2024-12-17,2024-12-26,0
ORD-296DB1FEEF,Kobo,Chelsea boots,shoes,37.81,14.10,0,2024-06-29,2024-07-02,0
ORD-9A9A1DCEBC,Target,Kitchen blender,home,51.92,12.35,0,2024-11-26,2024-11-28,0
ORD-C8F7B59380,Etsy,Denim jacket,clothing,28.38,21.71,0,2024-07-31,2024-08-03,0
ORD-0AF1697FA0,Etsy,Winter boots,shoes,72.67,25.72,0,2024-03-25,2024-03-29,0
ORD-6C2E6B7506,IKEA,Cooking guide,books,23.85,2.46,0,2024-08-27,2024-09-09,0
ORD-1E8C5EA70B,Newegg,4K streaming stick,electronics,206.29,6.10,0,2024-07-21,2024-07-23,0
ORD-39442FC54D,Newegg,Desk lamp,home,47.95,13.09,0,2024-04-29,2024-05-05,0
ORD-AD0D70DE66,Etsy,Winter boots,shoes,16.27,8.19,1,2024-08-25,2024-09-06,0
ORD-5D3C494464,BestBuy,Science textbook,books,20.68,16.58,0,2024-09-09,2024-09-11,0
ORD-5C839F7707,Target,Sandals,shoes,70.64,13.31,0,2024-12-22,2025-01-04,0
ORD-4CE405EEA9,Newegg,Wireless earbuds,electronics,99.72,5.64,0,2024-11-11,2024-11-16,1
ORD-824679C399,Walmart,Vacuum cleaner,home,70.11,24.04,0,2024-04-30,2024-05-11,0
ORD-5CEA4B4670,Zappos,Desk lamp,home,38.13,33.66,0,2024-03-03,2024-03-16,0
ORD-8912AE09C0,Walmart,Casual hoodie,clothing,35.59,33.70,1,2024-06-19,2024-06-23,1
ORD-A81AA234B6,Walmart,Leather sneakers,shoes,51.53,9.45,0,2024-10-27,2024-10-30,0
ORD-2AEAA5096C,Target,Storage organizer set,home,74.14,38.58,0,2024-03-15,2024-03-29,0
ORD-2B944DF248,BestBuy,Wireless earbuds,electronics,43.37,11.75,0,2024-07-02,2024-07-12,0
ORD-1FA40B13A0,IKEA,Wireless earbuds,electronics,165.97,16.32,0,2024-08-03,2024-08-09,0
ORD-EC43AA680E,Zappos,Storage organizer set,home,41.78,8.55,0,2024-09-14,2024-09-17,0
ORD-7235DB92D2,IKEA,Sandals,shoes,51.16,10.17,1,2024-09-02,2024-09-13,0
ORD-46AA887ED6,Kobo,Running shorts,clothing,41.77,22.66,0,2024-02-03,2024-02-06,0
ORD-94F67747E1,Zappos,Chelsea boots,shoes,68.03,5.45,0,2024-05-30,2024-06-05,0
ORD-2989B0DBEF,BestBuy,Casual hoodie,clothing,24.40,16.26,1,2024-08-19,2024-08-30,0
ORD-BD7AF7BBF2,Newegg,Business strategy book,books,17.92,0.78,0,2024-06-09,2024-06-14,0
ORD-81B31CE9B3,Target,Vacuum cleaner,home,69.20,35.15,0,2024-02-17,2024-02-22,0
ORD-A6891CC4F9,Target,Storage organizer set,home,42.79,36.06,0,2024-10-14,2024-10-18,0
ORD-FC77093880,Newegg,Kitchen blender,home,58.38,25.66,0,2024-11-03,2024-11-07,0
ORD-0C1DA22AC7,Walmart,Running shoes,shoes,55.73,11.34,1,2024-02-25,2024-03-01,0
ORD-92304D55CB,IKEA,Casual hoodie,clothing,49.47,12.07,0,2024-10-14,2024-10-27,0
ORD-C2CB34A694,Zappos,Leather sneakers,shoes,62.34,13.24,0,2024-12-21,2024-12-25,1
ORD-4E3920CB98,Etsy,Desk lamp,home,64.03,35.81,0,2024-10-16,2024-10-24,1
ORD-A71229A05D,BestBuy,Casual hoodie,clothing,24.39,9.10,0,2024-06-23,2024-06-26,0
ORD-2FD9E15449,BestBuy,Kitchen blender,home,98.25,4.09,0,2024-11-12,2024-11-14,1
ORD-FCE026DA09,Newegg,Business strategy book,books,17.41,7.80,0,2024-07-31,2024-08-04,0
ORD-EABCC6BF6A,Etsy,Running shorts,clothing,70.52,6.71,0,2024-10-30,2024-11-05,0
ORD-24C22709BA,Walmart,Running shorts,clothing,46.32,9.02,1,2024-04-14,2024-04-18,1
ORD-F70C97D346,IKEA,Noise cancelling headphones,electronics,85.17,14.37,0,2024-01-04,2024-01-10,1
ORD-E98708AAF9,Walmart,Winter boots,shoes,25.16,17.09,0,2024-06-30,2024-07-02,0
ORD-1FCFE3996B,Newegg,Cotton T-shirt,clothing,22.63,27.34,1,2024-06-09,2024-06-16,0
ORD-0A9C2B9D0A,IKEA,Paperback thriller,books,9.60,11.08,0,2024-06-15,2024-06-18,0
ORD-110C3B2923,Etsy,Paperback thriller,books,14.00,8.72,0,2024-02-24,2024-02-28,0
ORD-5E16842FEA,BestBuy,Sandals,shoes,62.44,25.88,0,2024-04-23,2024-04-27,1
ORD-A6AE0A6335,BestBuy,Winter boots,shoes,43.24,17.70,0,2024-06-27,2024-07-02,0
ORD-4A59AE0CA8,Walmart,Wireless earbuds,electronics,128.66,10.51,0,2024-04-11,2024-04-14,0
ORD-FF9B20E6A0,Target,Running shorts,clothing,40.31,4.84,0,2024-10-23,2024-10-29,0
ORD-7078CAC763,Etsy,Chelsea boots,shoes,80.07,8.68,1,2024-08-14,2024-08-22,0
ORD-A228B74539,Amazon,Chelsea boots,shoes,110.89,19.60,0,2024-08-19,2024-08-21,0
ORD-EF255846B2,BestBuy,Kitchen blender,home,43.12,9.83,0,2024-09-16,2024-09-21,0
ORD-5EEE26C4CF,Kobo,Casual hoodie,clothing,49.76,6.33,0,2024-08-31,2024-09-06,0
ORD-CFC1065E96,BestBuy,Cooking guide,books,13.60,8.98,0,2024-02-13,2024-02-19,0
ORD-2916E9FB43,Kobo,Bluetooth speaker,electronics,105.30,16.39,0,2024-11-08,2024-11-11,0
ORD-41ED7EA70A,Etsy,Fantasy novel,books,13.80,34.64,0,2024-06-20,2024-06-22,0
ORD-9637778E24,IKEA,Cooking guide,books,18.94,3.89,0,2024-12-02,2024-12-15,0
ORD-9A4335CB28,Etsy,Wireless earbuds,electronics,123.60,25.49,0,2024-03-13,2024-03-25,0
ORD-ADB29CFC7B,Target,Fantasy novel,books,22.37,7.35,0,2024-02-13,2024-02-17,0
ORD-15E789B07F,Target,Storage organizer set,home,83.51,8.37,0,2024-12-09,2024-12-14,0
ORD-C19EE2D603,IKEA,Air purifier,home,44.95,20.24,0,2024-06-23,2024-07-06,0
ORD-59924254DF,Target,Smart watch,electronics,176.63,36.29,0,2024-02-21,2024-02-27,0
ORD-19B0063A96,Amazon,Chelsea boots,shoes,104.97,25.67,0,2024-11-01,2024-11-06,1
ORD-1D3542D800,Target,Sandals,shoes,53.57,23.91,0,2024-08-15,2024-08-22,0
ORD-973DE64276,Walmart,Fantasy novel,books,16.53,11.42,0,2024-08-28,2024-09-09,0
ORD-DBB473D2DE,Kobo,Sandals,shoes,49.95,24.20,0,2024-09-14,2024-09-20,0
ORD-3172BC2F49,Target,Noise cancelling headphones,electronics,79.31,33.24,0,2024-07-09,2024-07-16,0
ORD-DD7D27B0B1,IKEA,Cotton T-shirt,clothing,30.92,16.76,0,2024-09-19,2024-09-22,0
ORD-A852CC305C,Kobo,Noise cancelling headphones,electronics,137.19,18.43,0,2024-07-31,2024-08-02,0
ORD-56546DED1A,Etsy,Denim jacket,clothing,28.84,34.90,0,2024-11-28,2024-12-02,0
ORD-C6AD28037B,IKEA,Running shorts,clothing,27.89,6.46,1,2024-12-27,2025-01-02,0
ORD-48E63E77B2,Amazon,Sweater,clothing,20.30,12.16,1,2024-11-07,2024-11-13,1
ORD-40363AA34D,Walmart,Desk lamp,home,148.58,13.39,0,2024-05-02,2024-05-07,0
ORD-46E112F067,BestBuy,Paperback thriller,books,21.16,3.37,0,2024-09-12,2024-09-19,1
ORD-38FEFA17BB,Walmart,Running shoes,shoes,42.52,27.21,1,2024-06-29,2024-07-03,0
ORD-8F8B80BF85,Zappos,Sweater,clothing,36.78,47.41,0,2024-09-16,2024-09-23,0
ORD-480243C4B8,Amazon,Business strategy book,books,22.26,13.49,0,2024-05-09,2024-05-18,0
ORD-B40CDBEE86,Etsy,Denim jacket,clothing,18.41,9.04,0,2024-10-24,2024-11-02,0
ORD-ECABB31907,Etsy,Casual hoodie,clothing,46.94,14.32,0,2024-12-16,2024-12-22,0
ORD-410643042D,Target,Wireless earbuds,electronics,85.92,23.46,0,2024-08-22,2024-08-24,0
ORD-2E416837A5,Etsy,Sweater,clothing,34.89,19.68,0,2024-10-05,2024-10-11,1
ORD-9BC6F17610,IKEA,Noise cancelling headphones,electronics,240.47,28.87,0,2024-01-25,2024-02-05,1
ORD-3FAD6C4996,Newegg,Vacuum cleaner,home,64.35,9.76,0,2024-07-16,2024-07-21,0
ORD-BD68C842EC,Etsy,Fantasy novel,books,9.95,2.46,0,2024-02-12,2024-02-21,0
ORD-DC3C609BD6,Target,Winter boots,shoes,84.26,10.82,1,2024-06-16,2024-06-24,0
ORD-E98655F026,Newegg,Running shoes,shoes,47.63,13.42,0,2024-01-22,2024-01-31,0
ORD-ECBA400F0E,Newegg,Chelsea boots,shoes,32.15,40.40,0,2024-01-30,2024-02-01,0
ORD-E2E303A05A,Zappos,Air purifier,home,109.26,12.38,0,2024-03-14,2024-03-25,0
ORD-1162364156,Amazon,Science textbook,books,22.62,27.46,0,2024-07-06,2024-07-11,0
ORD-EFCAA22D1D,Target,Running shorts,clothing,26.49,20.76,0,2024-02-09,2024-02-16,0
ORD-825D3A0EFD,Etsy,Cooking guide,books,10.00,15.57,0,2024-02-28,2024-03-01,0
ORD-AEE388E732,Newegg,Winter boots,shoes,82.78,12.18,0,2024-12-26,2025-01-01,0
ORD-DCAB86E07F,Kobo,Air purifier,home,76.84,24.06,0,2024-02-07,2024-02-13,0
ORD-22D773B2CA,BestBuy,Cooking guide,books,23.73,9.07,0,2024-12-29,2024-12-31,0
ORD-46235C05C6,Target,Air purifier,home,75.51,4.62,0,2024-09-17,2024-09-20,0
ORD-46948BDD5F,Walmart,Bluetooth speaker,electronics,125.53,32.80,0,2024-07-07,2024-07-13,1
ORD-0E5856F162,BestBuy,Sweater,clothing,24.83,6.59,0,2024-09-02,2024-09-08,0
ORD-A5A546DA08,BestBuy,Running shoes,shoes,42.93,5.17,0,2024-08-18,2024-08-24,0
ORD-A36192EA69,Zappos,4K streaming stick,electronics,64.15,5.30,0,2024-03-07,2024-03-12,1
ORD-FDFFAEF8BC,Zappos,Denim jacket,clothing,35.48,16.11,0,2024-12-29,2025-01-01,0
ORD-4AA8E9E50C,IKEA,Leather sneakers,shoes,66.83,16.95,0,2024-10-09,2024-10-13,0
ORD-E295BC4790,Zappos,Leather sneakers,shoes,57.92,10.63,1,2024-10-24,2024-10-27,0
ORD-B0E957D8CA,Etsy,Winter boots,shoes,61.18,39.23,1,2024-11-24,2024-12-03,1
ORD-D6D402A5DB,Newegg,4K streaming stick,electronics,111.88,13.80,0,2024-09-11,2024-09-22,0
ORD-70ED15F9B6,Kobo,Air purifier,home,67.09,12.61,0,2024-12-16,2024-12-21,0
ORD-52AAAF9676,Target,Running shorts,clothing,41.61,17.98,0,2024-06-23,2024-06-30,0
ORD-02AB6BA732,Etsy,Vacuum cleaner,home,92.67,10.14,0,2024-07-08,2024-07-14,0
ORD-C69E3BC3F3,Kobo,Wireless earbuds,electronics,118.83,20.91,0,2024-05-06,2024-05-09,0
ORD-0B26D5A984,Newegg,Running shoes,shoes,60.25,6.52,0,2024-06-16,2024-06-28,0
ORD-3D3BAC69E0,Target,Bluetooth speaker,electronics,248.36,5.78,0,2024-08-27,2024-09-02,1
ORD-A9E9B9DC89,Zappos,Business strategy book,books,21.48,11.10,0,2024-04-20,2024-04-27,0
ORD-6A56C9D2ED,Kobo,Storage organizer set,home,118.33,9.48,0,2024-11-30,2024-12-08,0
ORD-869879B8FC,BestBuy,Running shorts,clothing,36.58,3.75,0,2024-07-06,2024-07-15,0
ORD-EBFA0B1F46,Amazon,Fantasy novel,books,23.07,3.70,0,2024-07-04,2024-07-11,0
ORD-8942EB9FE8,Kobo,Winter boots,shoes,43.82,17.50,0,2024-12-14,2024-12-21,0
ORD-FEFA8DB1D6,Newegg,Sweater,clothing,26.05,9.63,0,2024-07-06,2024-07-15,0
ORD-1C9AD02CBD,Newegg,Winter boots,shoes,84.33,23.31,0,2024-08-30,2024-09-05,1
ORD-9A931465B8,Target,Chelsea boots,shoes,94.39,14.56,0,2024-07-20,2024-08-03,0
ORD-FF6727B578,Etsy,Storage organizer set,home,80.96,7.40,0,2024-09-29,2024-10-05,0
ORD-715E49696F,Amazon,Cooking guide,books,21.00,5.36,0,2024-02-26,2024-03-11,0
ORD-2928CB68EC,Kobo,Sweater,clothing,34.66,22.66,0,2024-10-23,2024-10-30,0
ORD-4C64837A8A,Kobo,Running shoes,shoes,61.13,13.70,0,2024-07-13,2024-07-16,0
ORD-229C6321B2,BestBuy,Denim jacket,clothing,25.74,24.61,1,2024-12-19,2024-12-22,0
ORD-866B429C29,Kobo,Leather sneakers,shoes,50.02,16.96,0,2024-10-14,2024-10-18,0
ORD-3E8280A73E,Newegg,Chelsea boots,shoes,71.18,9.94,0,2024-09-29,2024-10-04,0
ORD-3252E8EA1C,Kobo,Air purifier,home,55.17,22.50,0,2024-05-22,2024-05-29,0
ORD-E00F4FE9F9,IKEA,Air purifier,home,68.89,2.00,0,2024-09-07,2024-09-11,0
